정류소ID,정류소명,xPos,yPos,wincId
7021012200,고성아파트건너(서편),128.58026345,35.88044981666667,21226
7021012300,고성아파트(서편),128.5805525,35.8804698,02225
7021012400,고성지구대1,128.5890405,35.879329616666666,20053
7021012500,고성지구대2,128.58879755,35.879471116666664,01626
7021012600,대구역서희스타힐스건너,128.58967073333332,35.878700683333335,00144
7021012700,칠성우방타운,128.59221748333334,35.880111633333335,00403
7021012800,DGB대구은행파크동편건너,128.58964201666666,35.88124846666667,20054
7021012900,DGB대구은행파크동편앞,128.58926913333335,35.880971433333336,20055
7021013000,오페라삼정그린코아APT,128.59070526666667,35.88465491666667,09266
7021013100,이마트칠성점앞,128.59037145,35.88455521666667,20028
7021013200,대구은행제2본점앞,128.5878865,35.88394425,20801
7021013300,북구청앞,128.58368368333333,35.8848143,20802
7021013400,북구청건너,128.58338453333334,35.88468126666667,05325
7021013500,북구청네거리2,128.58063993333334,35.885730566666666,00288
7031013100,북구청네거리1,128.5805664,35.88555121666667,05285
7021013600,서구제일사회복지관건너,128.57816726666667,35.88677693333333,00286
7031013200,서구제일사회복지관앞,128.57823108333332,35.88655168333333,05284
7031013300,수정맨션앞,128.57007575,35.8875046,21223
7031013400,원대동행정복지센터건너,128.57275055,35.8855155,21224
7031013500,비원지구대건너,128.57461721666667,35.883793016666665,00282
7031013600,비원지구대앞,128.57495665,35.88372385,00283
7031013700,달성초등학교앞,128.57852108333333,35.882086666666666,00132
7031013800,달성초등학교건너,128.5789694,35.88175141666667,00133
7021013700,KT북대구지사건너,128.58204846666666,35.8811231,00134
7021013800,KT북대구지사앞,128.58306108333332,35.88102995,00131
7021013900,DGB대구은행파크남편건너,128.58654156666665,35.88021103333333,00135
7021014000,DGB대구은행파크남편앞,128.58658506666666,35.880367916666664,20732
7031013900,비산지하도2,128.57170325,35.88078036666667,02552
7031014000,원대시장앞,128.57433701666668,35.88566373333333,00284
7031014100,원대동행정복지센터앞,128.57471666666666,35.886403333333334,00279
7021014200,북침산치안센터앞,128.58019788333334,35.88900145,21746
7021014300,침산초등학교앞,128.5850534,35.890455466666666,21745
7021014400,침산초등학교건너,128.5857269,35.89047995,21762
7021014500,북구보건소앞,128.58713486666667,35.891087766666665,21744
7021014600,북구보건소건너,128.58808208333335,35.891219383333336,21763
7021014700,침산3동행정복지센터,128.58992066666667,35.891331433333335,21764
7021014800,명성푸르지오앞,128.59108411666668,35.88909318333334,00254
7021014900,명성푸르지오건너,128.59131106666666,35.88900996666667,20733
7021015000,침산화성파크드림앞,128.59123713333332,35.892210983333335,20734
7021015100,침산화성파크드림건너,128.59140675,35.89241723333333,21741
7021015200,성북교1,128.5945711,35.89230498333333,02122
7021015300,성북교2,128.59454125,35.89265588333333,02119
7021015400,대구시산격청사건너1,128.59782075,35.89073021666667,02123
7021015500,대구시산격청사앞,128.59809813333334,35.89084303333333,05042
7021015600,성북시장건너,128.59463328333334,35.8949173,20735
7021015700,성북시장앞,128.59473408333332,35.89573231666667,21740
7021015800,대산초등학교건너,128.59567241666667,35.89779608333333,20736
