정류소ID,정류소명,xPos,yPos,wincId
7031006200,비산7동우체국건너,128.5602166,35.88861398,1239
7031006300,만평네거리,128.5622828,35.88909958,2557
7021008600,팔달신시장2,128.5650823,35.89112503,21839
7021008700,노원119안전센터앞,128.5669632,35.89221487,21840
7021008800,노원119안전센터건너,128.5665624,35.89227032,2136
7021008900,한국로봇산업진흥원건너,128.5707463,35.89438573,553
7021009000,한국로봇산업진흥원앞,128.5725218,35.89569152,551
7021009100,국민은행3공단지점건너,128.5745048,35.8965426,558
7021009200,국민은행3공단지점앞,128.5756238,35.89747447,299
7021009300,노원네거리(대구은행앞),128.578965,35.90189,270
7021009400,노원네거리(대구은행건너),128.5793852,35.90024848,268
7021009500,노원네거리3(기업은행),128.5790284,35.89863717,271
7021009600,노원네거리4(기업은행),128.5791684,35.89844992,267
7021009700,침산동화타운앞,128.5780383,35.89445,266
7021009800,침산동화타운건너,128.5779441,35.89489213,272
7021009900,노원동화타운앞,128.5769609,35.89144692,273
7021010000,노원동화타운건너,128.5771043,35.89130062,265
7021010100,원대오거리북편1,128.5761921,35.8887745,274
7021010200,원대오거리북편2,128.5764195,35.88888057,264
7021010300,원대역1,128.5737345,35.88802392,20803
7031006400,원대역2,128.5733541,35.88794352,9072
7021010400,팔달시장앞,128.5698946,35.8886335,20804
7031006500,팔달시장건너,128.5702127,35.88838828,2132
7031006600,팔달시장역,128.5669521,35.88888348,2131
7031006700,삼익뉴타운앞,128.5500288,35.862506,20898
7031006800,삼익뉴타운건너,128.5509697,35.86278518,20632
7031006900,진달래아파트앞,128.5517052,35.8697271,20634
7031007000,진달래아파트건너,128.5526119,35.8701354,20900
7031007200,평리광명맨션앞,128.553095,35.87526,20629
7031007400,평리5동행정복지센터건너,128.5487067,35.87441052,20627
7031007600,서부고등학교건너,128.5597295,35.8757361,21804
7031007700,평리3동행정복지센터건너,128.5620243,35.8756699,21806
7031007800,평리중학교건너,128.5630123,35.87443297,9300
7031007900,서구청앞,128.5589189,35.8712853,20893
7031008000,서구청건너,128.5582787,35.87091933,2282
7061000200,수성교2,128.610391,35.86075168,20401
7031008100,이편한세상두류역건너,128.5585698,35.86411832,941
7031008200,이편한세상두류역앞,128.5586666,35.86400957,938
7031008400,보성2차홍실타운앞,128.5622699,35.8651709,20891
7031008500,평리2동행정복지센터건너,128.563216,35.86925898,438
7031008600,평리2동행정복지센터앞,128.5633384,35.86911417,640
7031008700,황제맨션앞,128.564117,35.86389967,450
7031008800,황제맨션건너,128.5641446,35.86304257,449
7031008900,홈플러스내당점앞,128.5644134,35.86122392,1018
7031009000,홈플러스내당점건너,128.5645644,35.86088978,642
7041024700,현대해상앞,128.561133,35.8588877,21613
7031009100,현대해상건너,128.5625085,35.85967177,20886
7041024800,반고개2,128.5686319,35.86100033,1014
7031009200,반고개1,128.5701183,35.861755,20884
7041024900,서대구시장앞,128.573417,35.86072543,2160
7041025000,서대구시장건너,128.5734354,35.86095988,21612
7041002800,죽전119안전센터앞,128.5374336,35.8523668,9396
7031003600,대구의료원건너,128.5408455,35.85870597,2290
7031003700,대구의료원앞,128.5406238,35.8588155,21816
7031003800,퀸스로드건너,128.5447841,35.860431,21829
7031003900,퀸스로드앞,128.5448001,35.86061247,5233
7031004000,용전초등학교남편,128.5329016,35.85887922,5125
7041002900,죽전그린빌앞,128.5341594,35.85865868,1332
7041003000,2차서한화성타운앞,128.5287276,35.85891325,9109
7041003100,2차서한화성타운건너,128.5277578,35.85864168,20969
7041003300,용산2동행정복지센터앞,128.5220493,35.85865855,1139
7041003500,성서보성타운2차건너1,128.5186429,35.85877925,2080
7041003600,대백한라무지개타운앞,128.513301,35.8590873,20963
7041003700,대백한라무지개타운건너,128.5138883,35.85879628,879
7041003800,성서푸른마을아파트앞,128.5095709,35.8591256,20964
7041003900,성서2차서한타운1,128.5065915,35.85894585,21135
7041004000,성서동서서한타운건너,128.5032867,35.85923132,20967
7041004100,성서동서서한타운앞,128.5024961,35.85901408,21134
7041004200,신당동행정복지센터건너,128.4989575,35.85932865,895
7041004300,신당동행정복지센터앞,128.4993688,35.85906882,21133
7041004400,와룡시장앞,128.4989131,35.8556019,899
7041004500,성서주공2단지앞,128.4990317,35.85540697,2307
7041004600,보성화성타운건너,128.503695,35.85532697,886
7041004700,보성화성타운앞,128.5028515,35.8555362,20961
7041004800,성서우방타운건너,128.5059008,35.85528838,887
7041004900,성서우방타운앞,128.5054202,35.85549083,884
7041005000,성서우체국건너,128.507028,35.85306885,888
7041005100,성서우체국앞,128.507434,35.85306237,889
7041005200,성서한샘타운앞,128.507516,35.85794447,877
7041005300,성서2차서한타운2,128.5071816,35.85782423,21137
7041005400,동서화성타운건너,128.5112717,35.85519522,2083
7041005500,동서화성타운앞,128.5104938,35.85540667,5123
7041005700,조달청건너,128.5144494,35.85533855,20960
7041005800,성지중학교앞,128.5153512,35.85326162,5015
7041005900,성지중학교건너,128.5156319,35.85294018,5127
7041006000,이곡장미공원건너,128.5155571,35.85764308,871
7041006100,이곡장미공원앞,128.5153138,35.85748085,9247
7041006200,영남우방타운1차앞,128.5177825,35.85508848,5128
7041006300,영남우방타운1차건너,128.5171715,35.8552932,867
7041006400,성서청구타운건너,128.521157,35.85575363,1138
7041006500,대백창신한라타운건너,128.5012809,35.85176517,2078
7041006600,대백창신한라타운앞,128.5003867,35.852085,21109
7041006700,성서산업단지역(2번출구),128.5050193,35.85176278,699
7041006800,성서산업단지역(1번출구),128.5052767,35.85211333,5171
7041006900,이곡1동행정복지센터건너,128.5107133,35.85098833,857
7041007000,이곡1동행정복지센터앞,128.51023,35.85148167,5230
7041007100,성서초등학교앞,128.5122817,35.85116667,687
7041007300,평화타운건너,128.5170238,35.8503392,864
7041007400,보람타운앞,128.518265,35.85072303,9107
7041007500,보람타운건너,128.5202619,35.85009193,1123
7041007600,장성초등학교앞,128.5228267,35.84960833,1122
7041007700,장성초등학교건너,128.524361,35.84868002,1124
7041007800,용산역(2번출구),128.5278917,35.848725,2883
7041007900,용산역(1번출구),128.527271,35.84904148,9106
7041008000,용산네거리1,128.5314725,35.84928452,1118
7041008100,용산네거리2,128.5316197,35.84964447,5545
7041008200,죽전네거리1,128.5343783,35.849635,1119
7041008300,죽전네거리2,128.5354382,35.85008337,1120
7041008400,구병원앞,128.5417285,35.85166947,2277
7041008500,구병원건너,128.542035,35.85221,933
7041008600,우방드림시티건너,128.5373266,35.84661318,20954
7041008700,달서구치매안심센터건너,128.536816,35.84263017,20945
